model,date,etf,rank,predicted_return,top3_mean_pred,filter_threshold,passes_filter,actual_return,short_pnl_ew,direction_correct
LightGBM,2023-01-27,XLB,11,-0.006179,0.002267,-0.002267,True,-0.026499,0.008833,True
LightGBM,2023-01-27,XLI,9,-0.004107,0.002267,-0.002267,True,-0.008207,0.002736,True
LightGBM,2023-01-27,XLU,10,-0.004643,0.002267,-0.002267,True,-0.033096,0.011032,True
LightGBM,2023-02-24,VOX,11,-0.001969,0.004501,-0.004501,False,0.070318,0.0,False
LightGBM,2023-02-24,XLF,10,-0.001146,0.004501,-0.004501,False,-0.093955,0.0,True
LightGBM,2023-02-24,XLY,9,0.000247,0.004501,-0.004501,False,0.042655,0.0,False
LightGBM,2023-03-31,XLI,9,-0.001794,0.001242,-0.001242,True,-0.011662,0.003887,True
LightGBM,2023-03-31,XLK,11,-0.005788,0.001242,-0.001242,True,-0.001192,0.000397,True
LightGBM,2023-03-31,XLP,10,-0.002208,0.001242,-0.001242,True,0.036541,-0.01218,False
LightGBM,2023-04-28,IYR,11,-0.000985,0.00147,-0.00147,False,-0.04937,0.0,True
LightGBM,2023-04-28,XLK,9,-0.000349,0.00147,-0.00147,False,0.092488,0.0,False
LightGBM,2023-04-28,XLY,10,-0.000422,0.00147,-0.00147,False,0.027797,0.0,False
LightGBM,2023-05-26,XLK,11,-0.012349,-0.002974,0.002974,True,0.057314,-0.019105,False
LightGBM,2023-05-26,XLP,10,-0.009515,-0.002974,0.002974,True,0.017243,-0.005748,False
LightGBM,2023-05-26,XLY,9,-0.007753,-0.002974,0.002974,True,0.119639,-0.03988,False
LightGBM,2023-06-30,IYR,9,-0.001393,0.000178,-0.000178,True,0.011671,-0.00389,False
LightGBM,2023-06-30,XLK,11,-0.002758,0.000178,-0.000178,True,0.023467,-0.007822,False
LightGBM,2023-06-30,XLP,10,-0.001588,0.000178,-0.000178,True,0.026022,-0.008674,False
LightGBM,2023-07-28,XLK,9,-0.000744,0.003633,-0.003633,False,-0.051871,0.0,True
LightGBM,2023-07-28,XLP,11,-0.001517,0.003633,-0.003633,False,-0.048358,0.0,True
LightGBM,2023-07-28,XLV,10,-0.000998,0.003633,-0.003633,False,-0.013167,0.0,True
LightGBM,2023-08-25,XLB,9,-0.002109,0.000421,-0.000421,True,-0.02316,0.00772,True
LightGBM,2023-08-25,XLE,11,-0.003369,0.000421,-0.000421,True,0.039583,-0.013194,False
