,0
CPI_YoY,0.1741421489173244
IndProd_YoY,0.09424491865755781
FedFunds_Chg,0.056958171635425325
Mkt-RF,0.055967975671839996
RMW,0.0558574950130528
ret_3m,0.054207418296883116
Unemp_Chg,0.05042422817513971
SMB,0.04793401208607887
ret_12m,0.04618632585145083
Unemployment,0.044125289973267943
HML,0.04305348652222212
spy_return,0.04304074620772015
CMA,0.03991589551215601
YieldSpread,0.03750697665928201
ret_6m,0.03547014363105997
momentum_12_1,0.03143247633247358
vol_6m,0.03023481211581882
ret_1m,0.029179542512059422
FedFunds,0.019266363971510585
RF,0.0058782703652110226
market_regime,0.004973301892465552
