,0
excess_ret_1w,162
ret_1w,113
excess_ret_52w,113
rsi_26w,109
excess_ret_13w,96
ret_7w,92
ret_26w,91
ret_13w,88
vol_7w,85
vol_26w,83
T10_Chg,81
vol_13w,78
ret_3w,74
ret_52w,70
momentum_52_4,67
spy_ret_52w,58
ret_4w,58
vol_3w,57
ret_8w,56
ret_4w_rank,54
Gold_ret_4w,54
vol_52w,53
VIX_Chg,51
Oil_ret_1w,51
spy_ret_4w,49
Gold_ret_1w,48
ret_7w_rank,46
YieldSpread,45
US_JP_Spread,43
rsi_14w,41
rsi_9w,41
Mkt-RF,38
T10,35
Oil_ret_4w,35
spy_ret_1w,33
FedFunds_Chg,33
ret_8w_rank,33
rsi_14w_rank,32
vol_52w_rank,32
vol_3w_rank,32
T3M,31
rsi_9w_rank,31
Term_Spread_10_3m,31
ret_3w_rank,30
vol_26w_rank,29
vol_7w_rank,28
RMW,28
VIX,25
ret_13w_rank,24
HML,22
SMB,20
FedFunds,19
rsi_26w_rank,19
ret_1w_rank,18
ret_52w_rank,18
ret_26w_rank,17
vol_13w_rank,17
Unemp_Chg,14
CPI_YoY,13
JGB10Y,11
CMA,11
IndProd_YoY,8
Unemployment,7
ISM,7
ISM_Chg,7
JGB10Y_Chg,4
RF,1
HY_OAS,0
RepoRate,0
IG_OAS,0
HY_OAS_Chg,0
IG_OAS_Chg,0
RepoRate_Chg,0
market_regime,0
