,0
ret_1w,636
ret_4w,523
excess_ret_1w,522
vol_26w,512
excess_ret_13w,461
ret_52w,445
excess_ret_52w,428
ret_26w,408
momentum_52_4,351
ret_13w,322
Gold_ret_1w,316
rsi_26w,309
spy_ret_1w,303
rsi_14w,273
rsi_9w,273
T10_Chg,252
T10,244
Gold_ret_4w,237
VIX,216
T3M,206
VIX_Chg,201
vol_26w_rank,173
ret_26w_rank,162
ret_4w_rank,159
SMB,158
IndProd_YoY,151
Term_Spread_10_3m,147
CMA,143
FedFunds,129
FedFunds_Chg,123
rsi_14w_rank,120
ret_1w_rank,113
YieldSpread,110
spy_ret_52w,100
RMW,95
rsi_26w_rank,93
ret_13w_rank,80
spy_ret_4w,79
HML,73
CPI_YoY,72
Mkt-RF,68
rsi_9w_rank,63
ret_52w_rank,50
Unemployment,41
Unemp_Chg,39
RF,9
HY_OAS,0
HY_OAS_Chg,0
market_regime,0
