,0
excess_ret_1w,783
vol_26w,677
ret_26w,672
ret_1w,621
excess_ret_13w,576
ret_4w,550
T10_Chg,538
excess_ret_52w,531
ret_13w,524
ret_52w,474
momentum_52_4,468
spy_ret_52w,462
VIX_Chg,458
rsi_26w,453
spy_ret_1w,435
spy_ret_4w,416
rsi_9w,406
Gold_ret_4w,376
Gold_ret_1w,350
rsi_14w,325
RMW,315
CMA,310
vol_26w_rank,271
IndProd_YoY,259
T10,252
SMB,248
Mkt-RF,232
CPI_YoY,221
T3M,209
VIX,207
ret_4w_rank,205
ret_1w_rank,203
Term_Spread_10_3m,201
ret_52w_rank,200
FedFunds_Chg,198
ret_13w_rank,185
YieldSpread,175
rsi_26w_rank,173
HML,167
rsi_14w_rank,142
rsi_9w_rank,142
ret_26w_rank,140
Unemp_Chg,113
FedFunds,77
Unemployment,45
RF,15
HY_OAS,0
HY_OAS_Chg,0
market_regime,0
