,0
excess_ret_1w,0.19262502960929057
ret_13w,0.08222531057206475
ret_1w,0.06844243522809099
vol_26w,0.06671987167659256
ret_4w,0.05788945153006225
ret_52w,0.05530562334998811
excess_ret_52w,0.05239745113337522
excess_ret_13w,0.05045276982503825
HY_OAS_Chg,0.041648963246016114
ret_26w,0.041375153116119986
momentum_52_4,0.03624712781594417
spy_ret_52w,0.03012381785189151
spy_ret_4w,0.02221670332461261
T10_Chg,0.02202774773089803
Gold_ret_4w,0.01971948962178265
YieldSpread,0.015369537617282374
VIX,0.014141610993973723
T10,0.011463274568785115
ret_26w_rank,0.01132557544813434
FedFunds_Chg,0.010784393723852703
Gold_ret_1w,0.010658650418030017
RMW,0.010092045952341458
spy_ret_1w,0.008121903518546275
ret_4w_rank,0.007615870233258946
ret_13w_rank,0.007006390993658595
VIX_Chg,0.006240570847311113
HML,0.0059937263486873555
ret_52w_rank,0.0051368288223200866
Term_Spread_10_3m,0.0038611434511754044
Mkt-RF,0.003679228345399807
Unemp_Chg,0.00350811407174558
IndProd_YoY,0.0032691287017072154
SMB,0.0031364965028936502
FedFunds,0.0030048636589055802
HY_OAS,0.002902303148842662
vol_26w_rank,0.002759526304689814
CPI_YoY,0.0025514389051893138
RF,0.002484370552034689
ret_1w_rank,0.002366550514345703
Unemployment,0.0017139980929560409
CMA,0.0013955126321647747
T3M,0.0
market_regime,0.0
