,0
excess_ret_1w,490
vol_3w,394
yield_curve_diff,393
momentum_3w,364
T10_Chg,348
momentum_1w,345
beta_13w,337
VIX_Chg,335
momentum_4w,320
spy_ret_1w,315
beta_52w,310
spy_ret_4w,301
excess_ret_52w,300
vol_7w,295
US_JP_Spread,289
excess_ret_13w,287
momentum_26w,278
vol_13w,275
leverage_diff,273
beta_26w,268
momentum_7w,255
T10,254
momentum_8w,253
financial_conditions_diff,246
momentum_13w,246
vol_26w,228
Mkt-RF,223
vol_52w,220
FedFunds_Chg,217
momentum_52_4,212
momentum_52w,210
rsi_26w,206
spy_ret_52w,206
VIX,200
inflacion_diff,199
sentiment_diff,192
HML,182
Term_Spread_10_3m,182
rsi_9w,180
YieldSpread,173
CMA,171
T3M,170
FedFunds,167
IndProd_YoY,163
leverage,156
financial_conditions,149
momentum_1w_rank,148
SMB,146
momentum_3w_rank,145
rsi_14w,143
RMW,143
momentum_4w_rank,143
vol_3w_rank,132
momentum_52w_rank,124
ISM,114
rsi_26w_rank,112
vol_52w_rank,111
vol_7w_rank,110
ISM_Chg,110
JGB10Y_Chg,109
momentum_7w_rank,108
rsi_14w_rank,103
momentum_26w_rank,99
momentum_13w_rank,95
beta_52w_rank,93
momentum_8w_rank,92
CPI_YoY,91
vol_26w_rank,90
Unemp_Chg,85
beta_13w_rank,76
sentiment,73
rsi_9w_rank,72
JGB10Y,72
beta_26w_rank,60
vol_13w_rank,59
RepoRate_Chg,56
Unemployment,47
RepoRate,21
RF,21
empleo_diff,20
HY_OAS,0
IG_OAS,0
recession,0
recession_diff,0
HY_OAS_Chg,0
IG_OAS_Chg,0
market_regime,0
bear_prob,0
ranging_prob,0
bull_prob,0
