,0
excess_ret_1w,161
ret_3w,96
ret_1w,89
excess_ret_52w,88
Gold_ret_4w,86
vol_13w,84
excess_ret_13w,74
Mkt-RF,73
Gold_ret_1w,71
ret_13w,70
HML,70
VIX,69
spy_ret_52w,68
ret_8w,67
T10,67
vol_7w,66
T10_Chg,64
vol_52w,58
Term_Spread_10_3m,57
Oil_ret_1w,56
ret_7w,54
CMA,54
vol_26w,52
vol_3w,50
VIX_Chg,50
rsi_26w,49
rsi_9w,48
Oil_ret_4w,46
ret_52w,46
US_JP_Spread,45
ret_4w,44
ret_26w,44
FedFunds_Chg,43
vol_26w_rank,42
spy_ret_1w,42
momentum_52_4,41
IndProd_YoY,41
spy_ret_4w,41
FedFunds,40
T3M,36
ret_7w_rank,34
ret_4w_rank,32
rsi_14w,32
RMW,31
vol_3w_rank,30
SMB,30
YieldSpread,30
vol_52w_rank,29
CPI_YoY,28
vol_7w_rank,25
JGB10Y_Chg,24
rsi_14w_rank,22
ret_8w_rank,22
rsi_26w_rank,20
ISM,20
ret_3w_rank,19
ret_1w_rank,18
vol_13w_rank,15
rsi_9w_rank,14
Unemployment,13
ret_52w_rank,13
JGB10Y,12
ret_26w_rank,12
Unemp_Chg,11
ISM_Chg,7
ret_13w_rank,6
RepoRate_Chg,5
RF,3
RepoRate,1
HY_OAS_Chg,0
HY_OAS,0
IG_OAS,0
IG_OAS_Chg,0
market_regime,0
bear_prob,0
ranging_prob,0
bull_prob,0
