date,model,etf,rank,pred,top1_etf,pred_top1,top3_pred_mean,top3_etfs,cond1_pred_neg,cond2_abs_gt_top1,passed_filter,etf_var_36m,half_kelly_scalar,weight,actual_return,short_contribution,short_profitable
2023-01-27,LightGBM,XLB,11,-0.006179,XLE,0.005594,0.002267,XLE|VOX|XLK,True,True,True,,308960.782,,-0.026499,,True
2023-01-27,LightGBM,XLU,10,-0.004643,XLE,0.005594,0.002267,XLE|VOX|XLK,True,False,False,,232146.8517,0.0,-0.033096,0.0,True
2023-01-27,LightGBM,XLI,9,-0.004107,XLE,0.005594,0.002267,XLE|VOX|XLK,True,False,False,,205362.2845,0.0,-0.008207,0.0,True
2023-02-24,LightGBM,VOX,11,-0.001969,XLE,0.009182,0.004501,XLE|XLV|XLU,True,False,False,,98445.8911,0.0,0.070318,-0.0,False
2023-02-24,LightGBM,XLF,10,-0.001146,XLE,0.009182,0.004501,XLE|XLV|XLU,True,False,False,,57287.9181,0.0,-0.093955,0.0,True
2023-02-24,LightGBM,XLY,9,0.000247,XLE,0.009182,0.004501,XLE|XLV|XLU,False,False,False,,12341.5688,0.0,0.042655,-0.0,False
2023-03-31,LightGBM,XLK,11,-0.005788,VOX,0.001892,0.001242,VOX|XLB|XLV,True,True,True,0.00679139,0.4261,0.094752,-0.001192,0.000113,True
2023-03-31,LightGBM,XLP,10,-0.002208,VOX,0.001892,0.001242,VOX|XLB|XLV,True,True,True,0.00059529,1.8543,0.412315,0.036541,-0.015066,False
2023-03-31,LightGBM,XLI,9,-0.001794,VOX,0.001892,0.001242,VOX|XLB|XLV,True,False,False,0.00022089,4.061,0.0,-0.011662,0.0,True
2023-04-28,LightGBM,IYR,11,-0.000985,XLF,0.002355,0.00147,XLF|XLV|VOX,True,False,False,0.00098843,0.4985,0.0,-0.04937,0.0,True
2023-04-28,LightGBM,XLY,10,-0.000422,XLF,0.002355,0.00147,XLF|XLV|VOX,True,False,False,0.00134121,0.1572,0.0,0.027797,-0.0,False
2023-04-28,LightGBM,XLK,9,-0.000349,XLF,0.002355,0.00147,XLF|XLV|VOX,True,False,False,0.00440409,0.0396,0.0,0.092488,-0.0,False
2023-05-26,LightGBM,XLK,11,-0.012349,XLU,-0.002516,-0.002974,XLU|XLF|IYR,True,True,True,0.00374865,1.6471,0.144002,0.057314,-0.008253,False
2023-05-26,LightGBM,XLP,10,-0.009515,XLU,-0.002516,-0.002974,XLU|XLF|IYR,True,True,True,0.00167208,2.8453,0.248764,0.017243,-0.004289,False
2023-05-26,LightGBM,XLY,9,-0.007753,XLU,-0.002516,-0.002974,XLU|XLF|IYR,True,True,True,0.00106847,3.6279,0.317182,0.119639,-0.037947,False
2023-06-30,LightGBM,XLK,11,-0.002758,XLU,0.001212,0.000178,XLU|VOX|XLE,True,True,True,0.00282299,0.4885,0.257495,0.023467,-0.006043,False
2023-06-30,LightGBM,XLP,10,-0.001588,XLU,0.001212,0.000178,XLU|VOX|XLE,True,True,True,0.00129028,0.6153,0.324297,0.026022,-0.008439,False
2023-06-30,LightGBM,IYR,9,-0.001393,XLU,0.001212,0.000178,XLU|VOX|XLE,True,True,True,0.00247124,0.2818,0.148534,0.011671,-0.001734,False
2023-07-28,LightGBM,XLP,11,-0.001517,IYR,0.005354,0.003633,IYR|XLU|VOX,True,False,False,0.00109588,0.692,0.0,-0.048358,0.0,True
2023-07-28,LightGBM,XLV,10,-0.000998,IYR,0.005354,0.003633,IYR|XLU|VOX,True,False,False,0.00128886,0.3873,0.0,-0.013167,0.0,True
2023-07-28,LightGBM,XLK,9,-0.000744,IYR,0.005354,0.003633,IYR|XLU|VOX,True,False,False,0.00238701,0.1558,0.0,-0.051871,0.0,True
2023-08-25,LightGBM,XLE,11,-0.003369,XLK,0.000688,0.000421,XLK|XLV|XLU,True,True,True,0.00282399,0.5965,0.318201,0.039583,-0.012595,False
2023-08-25,LightGBM,XLF,10,-0.002993,XLK,0.000688,0.000421,XLK|XLV|XLU,True,True,True,0.00282109,0.5304,0.282976,-0.019762,0.005592,True
2023-08-25,LightGBM,XLB,9,-0.002109,XLK,0.000688,0.000421,XLK|XLV|XLU,True,True,True,0.00260763,0.4045,0.215779,-0.02316,0.004997,True
2023-09-29,LightGBM,XLE,11,-0.000784,XLU,0.006541,0.003192,XLU|XLI|VOX,True,False,False,0.00263506,0.1487,0.0,-0.063724,0.0,True
2023-09-29,LightGBM,XLP,10,-0.000643,XLU,0.006541,0.003192,XLU|XLI|VOX,True,False,False,0.00144739,0.2221,0.0,-0.032408,0.0,True
2023-09-29,LightGBM,XLY,9,-0.000614,XLU,0.006541,0.003192,XLU|XLI|VOX,True,False,False,0.00277313,0.1107,0.0,-0.070754,0.0,True
2023-10-27,LightGBM,XLK,11,-0.003252,XLE,0.005447,0.004629,XLE|XLU|XLB,True,False,False,0.00310851,0.523,0.0,0.144551,-0.0,False
2023-10-27,LightGBM,XLF,10,-0.002946,XLE,0.005447,0.004629,XLE|XLU|XLB,True,False,False,0.00234624,0.6278,0.0,0.12496,-0.0,False
2023-10-27,LightGBM,VOX,9,-0.001988,XLE,0.005447,0.004629,XLE|XLU|XLB,True,False,False,0.00231657,0.4291,0.0,0.127495,-0.0,False
2023-11-24,LightGBM,XLK,11,-0.004162,XLY,-0.000108,-0.000925,XLY|XLB|XLF,True,True,True,0.00430218,0.4837,0.259675,0.046064,-0.011962,False
2023-11-24,LightGBM,IYR,10,-0.002817,XLY,-0.000108,-0.000925,XLY|XLB|XLF,True,True,True,0.00367469,0.3833,0.205748,0.116681,-0.024007,False
2023-11-24,LightGBM,XLU,9,-0.002413,XLY,-0.000108,-0.000925,XLY|XLB|XLF,True,True,True,0.0020327,0.5935,0.318614,0.019726,-0.006285,False
2023-12-29,LightGBM,XLP,11,-0.002042,XLK,0.000889,-6.7e-05,XLK|VOX|XLE,True,True,True,0.00155305,0.6576,0.42998,0.00833,-0.003582,False
2023-12-29,LightGBM,XLF,10,-0.001979,XLK,0.000889,-6.7e-05,XLK|VOX|XLE,True,True,True,0.00400349,0.2471,0.161594,0.027926,-0.004513,False
2023-12-29,LightGBM,XLI,9,-0.001827,XLK,0.000889,-6.7e-05,XLK|VOX|XLE,True,True,True,0.00304063,0.3005,0.196501,-0.004913,0.000965,True
2024-01-26,LightGBM,IYR,11,-0.008124,VOX,-0.000718,-0.001673,VOX|XLK|XLI,True,True,True,0.00442831,0.9173,0.180107,-0.000456,8.2e-05,True
